-95.87109375,-34.55078125,149.93359375
-85.21875,-50.0390625,155.65625
-62.73046875,-65.52734375,147.64453125
-17.75390625,-67.91015625,165.95703125
11.8359375,-78.6328125,164.8125
46.16015625,-79.82421875,147.64453125
62.73046875,-63.14453125,156.80078125
93.50390625,-44.08203125,145.35546875
107.70703125,-20.25390625,154.51171875
123.09375,11.9140625,151.078125
126.64453125,13.10546875,165.95703125
129.01171875,44.08203125,179.69140625
127.828125,52.421875,173.96875
115.9921875,69.1015625,171.6796875
119.54296875,70.29296875,170.53515625
89.953125,102.4609375,164.8125
82.8515625,111.9921875,155.65625
67.46484375,122.71484375,149.93359375
49.7109375,135.8203125,139.6328125
47.34375,145.3515625,141.921875
29.58984375,139.39453125,133.91015625
22.48828125,156.07421875,136.19921875
2.3671875,164.4140625,135.0546875
-44.9765625,150.1171875,137.34375
-92.3203125,-47.65625,144.2109375
-110.07421875,-29.78515625,149.93359375
-115.9921875,-11.9140625,141.921875
-134.9296875,4.765625,141.921875
-143.21484375,17.87109375,133.91015625
-150.31640625,58.37890625,136.19921875
-138.48046875,91.73828125,133.91015625
-124.27734375,120.33203125,122.46484375
-94.6875,135.8203125,123.609375
-71.015625,152.5,119.03125
-52.078125,166.796875,123.609375
-31.95703125,179.90234375,124.75390625
-14.203125,169.1796875,121.3203125
0,178.7109375,135.0546875
23.671875,162.03125,123.609375
43.79296875,160.83984375,124.75390625
56.8125,147.734375,125.8984375
66.28125,131.0546875,125.8984375
69.83203125,115.56640625,129.33203125
79.30078125,108.41796875,136.19921875
91.13671875,91.73828125,140.77734375
88.76953125,84.58984375,168.24609375
